ID,LasVegasPos,LasVegasNeg,NewYorkCityPos,NewYorkCityNeg,NashvillePos,NashvilleNeg,LosAngelesPos,LosAngelesNeg,NewOrleansPos,NewOrleansNeg
S1,have heard Las Vegas is fun! I hope to visit one day!,was not a fan of the strippers,am so happy I was finally able to see a Broadway show,am just not a fan of big cities,"love Nashville for the food, people, and environment","wouldn't say terrible, I just hate leaving",loved the board walk!,hated all the non-stop traffic.,loved the culture and atmosphere.,spent way too much money
S2,Stayed at he Caesar hotel and went to the casino.,Spent all my money at casinos.,Saw many Broadway shows,was yelled at by taxi drivers,went line-dancing,was overpriced for dining,saw lots of celebrities,could not move freely,drank on Bourbon St.,got my phone stolen
S3,had a blast casino hopping,got way too wasted and lost all my money gambling.,went shopping and tried lots of different food,got jumped by a homeless person and attacked by pigeons.,went to a few concerts and went out to the bars after with my friends.,got arrested and got a DUI,saw movie sets and famous people.,got attacked for my beliefs,got wasted on Burbon Street for my best friends 21st.,got chased by scary men
S4,had a great time gambling.,lost all my money.,had a great time seeing a show.,could not make it to Central Park.,went on Broadway.,got kicked out of a bar.,went to the beach.,got lost.,was on bourbon street all night.,got mugged.
S5,lost a lot of money and saw some shows,got robbed,loved seeing the city at night,was not expecting it to be so filthy.,loved the music scene,had to interact with to many drunk people.,loved the hiking trails in the area.,met some very rude and belligerent people.,"just ""let the good times roll.""",was sad to see so much damage left from Katrina still.
S6,visited the casino.,lost all of my money at the casino,visited the statue of liberty,got mugged on the street,went to a rodeo,lost my ticket to the rodeo,went to many different restaurants.,got food poisoning at a restaurant.,went to Mardi gras.,got wasted and had a terrible hangover.
S7,went to lots of casinos and shows.,lost a lot of money at the casino.,saw the Statue of Liberty.,got robbed on the subway.,got to tour the Ryman theater and went bar hopping.,"Yes, the people were obnoxious and fake.",saw many celebrities.,"Yes, there were lots of interesting people.",went to Cafe du Mond for coffee and beignets.,"Yes, the city smells terrible."
S8,Went to the casino and saw music at Fremont Street,lost all of my money,got a position on wall Street.,got mugged,went to a bunch of concerts.,stuck in traffic,Went to the Laker's and Dodger's games,Crossed into the wrong neighborhood,spent all night on bourbon street.,lost my phone and wallet.
S9,went to the casino and scored big.,could not find anything to do other than going to the casino and getting food.,"went to the MET, got a tattoo, and walked around central park with a bagel.","could not get over the smell, the rats, and I got lost on the subway.",went to the rodeo and a wonderful country concert.,could not find any activities to do that did not have to do with alcohol or country music.,went to the beach and soaked up some sun. I even got a gorgeous tan.,got stuck in traffic and the public transit sucks.,"Yes,  I had amazing food and went to a psychic.","could not get over the stench of French quarter, and I hated seeing those poor horses taking people around."
S10,Won money at the casinos and ate at buffets.,Spent way too much money and it was too crowded.,I went to Times Square and saw Wicked on Broadway.,Could not get around the city at all.,Went to a line dancing class and ate good food.,I did not love the Airbnb we stayed in.,I say the Hollywood sign and Bruno Mars' House.,Spent way to much money on healthy food.,Went to a Mardi Gras parade and gumbo.,Went to Jackson Square and the smell was really bad.
