ID,LV-ASOC1,LV-ASOC2,LV-ASOC3,LV-ASOC4,NYC-ASOC1,NYC-ASOC2,NYC-ASOC3,NYC-ASOC4,NSH-ASOC1,NSH-ASOC2,NSH-ASOC3,NSH-ASOC4,LA-ASOC1,LA-ASOC2,LA-ASOC3,LA-ASOC4,NO-ASOC1,NO-ASOC2,NO-ASOC3,NO-ASOC4
S1,"When thinking of Las Vegas, I think of Casino's",colorful,I also picture a fun environment that lasts all hours of the day,"dry, hot","When thinking of NYC, I picture someone fulfilling their dreams",NYC reminds me of the show gossip girl,loud,crowded,country,when talking about nashville I picture lots of people having fun,Nashville reminds me of home,Nashville is all country music artist dreams,"LA is hot, crowded, lots of traffic",LA also reminds me of healthy people,LA is famous actors ,sunny,dirty,loud,New orleans is mardi gras,partying
S2,fun,city that never sleeps,lots of architecture,busy,broadway shows,high fashion,busy,public transportation,country music,bachelorette parties,bright lights,bar scenery,famous,sunny,movie stars,lights,casinos,nightlife,unsafe,parties
S3,casinos and party life,the hangover trilogy,tiger,Percy Jackson,apple,statue of liberty,fashion,famous,country music,cowboy hats,boots,fun,fame,the kardashians,movies,sunny,Princess and the frog,mardi gras,"purple, green, yellow",alcohol
S4,party,bright,gambling,night life,bright,smells bad,nightlife,lots of people,smaller city,bar scene,country music,southern,very west coast,good food,good beaches,nightlife,nightlife,culture,good food,smells bad
S5,loud,bright,aggressive,busy,rude,dirty,overcrowded,rigid,relaxed,musical,older,bustling,traffic,hasty,rude,self-centered,relaxed,loving,friendly,jazz music
S6,casino,formula 1,party,Elvis,Statue of liberty,pizza,museum,Art,rodeo,bars,cows,country,bars,musicals,city,beach,mardi gras,bars,blue,museums
S7,loud,nasty,flamboyant,heavily populated,heavily populated,rich,division,apple,slightly Southern,faux country,country music,whiskey,west coast,hot,dangerous,division amongst tax brackets,river,good cooking,Mardi Gras,bourbon street
S8,Casino,UFC,Night life,Sinfulness,Cold,Financial services,Crime ridden,High class,City of music,Country,Stuckup,not much culture,Expensive,Gentrified,Gang violence,Fame,Greek life Formals,Drug use,Alcohol abuse,culture
S9,Noisy,No personality,Overcrowded in the desert,Hot,Busy,full of personality,Lively,Has beautiful art,Boring,Country,Not enough to do,Okay food,Sunny,Bustling,Fun,Traffic,The supernatural,Great Food,Beautiful buildings,Dark history
S10,Casino,Traffic,Sphere,Residency,The city that never sleeps!,Walking everywhere,Uber or Taxis,Big Apple,Country,Broadway,Concert,Tourist,Famous people everywhere,Beverly Hills,Have to drive everywhere,Expensive,Big Easy,Southern,Cajun Food,Mardi Gras
